Vendor_ID,Vendor_Name,Vendor_Category,Years_In_Business,Total_Orders,Delivered_Orders,Returned_Orders,Delayed_Orders,Disputed_Orders,Avg_Delivery_Days,Rating,Product_Quality_Score,Response_Time_Hours,Refund_Rate,Contract_Value,Risk_Level
V6000,Vendor_830_Corp,Electronics,6,4116,1969,853,1597,173,28,3.51,3.0,52.0,0.0604,394706.0,High Risk
V8763,Vendor_589_Ltd,Textiles,11,1045,913,532,255,640,9,2.0,4.0,39.0,0.2817,247991.0,
V7623,Vendor_134_Corp,Office Supplies,7,3059,1078,367,401,25,2,2.56,9.0,56.0,0.2623,340231.0,NO
V9548,Vendor_909_Co,Chemicals,3,4308,3839,153,2765,3645,30,4.16,1.0,63.0,0.2183,64345.0,1
V6483,Vendor_981_LLC,Packaging,13,1057,709,359,200,609,23,2.62,8.0,28.0,0.0317,429416.0,Low
V6849,Vendor_981_Co,Electronics,17,2246,1980,1804,21,1368,23,3.04,7.0,40.0,0.0227,181681.0,0
V1382,Vendor_510_Ltd,Textiles,30,3154,1027,241,469,163,25,2.13,3.0,64.0,0.0431,160224.0,Low
V1920,Vendor_431_Inc,Automotive,22,2965,142,23,140,9,20,4.34,6.0,54.0,0.2856,424796.0,YES
V5195,Vendor_732_Inc,Electronics,21,159,21,11,11,9,27,4.35,10.0,69.0,0.0962,426848.0,Low
V1165,Vendor_985_Corp,Chemicals,14,4921,1353,733,28,39,7,3.23,8.0,11.0,0.2061,178329.0,YES
V3844,Vendor_451_Co,Office Supplies,12,3518,2383,1366,88,1928,2,2.3,10.0,10.0,0.1046,322414.0,low
V7746,Vendor_959_Co,Textiles,20,4534,3152,2861,2976,1983,4,2.18,,36.0,0.0913,421516.0,high
V3297,Vendor_133_Inc,Chemicals,27,2674,976,677,400,737,10,3.8,4.0,24.0,0.1344,354512.0,
V4869,Vendor_768_Co,Food & Beverage,18,2383,375,258,229,319,20,4.68,4.0,59.0,0.1418,39000.0,0
V4167,Vendor_933_Co,Packaging,27,3181,2063,827,307,332,27,4.56,1.0,9.0,0.1126,30352.0,Low Risk
V3417,Vendor_925_LLC,Automotive,19,1443,436,135,351,85,7,3.24,8.0,8.0,0.2421,103387.0,high
V7835,Vendor_802_Corp,Packaging,21,2496,919,54,360,409,18,2.19,3.0,26.0,0.2786,16225.0,high
V6727,Vendor_127_Ltd,Electronics,13,761,227,209,115,226,17,3.12,7.0,11.0,0.1125,15778.0,Low
V1246,Vendor_476_Co,Machinery,14,2212,1922,85,1070,1259,14,3.64,5.0,71.0,0.0422,,NO
V2662,Vendor_763_Corp,Chemicals,23,4524,2165,892,886,730,27,4.69,10.0,22.0,0.2482,90528.0,High
V8271,Vendor_328_Inc,Chemicals,17,1810,907,167,17,204,8,4.96,,47.0,0.1262,1503.0,low
V8238,Vendor_874_Inc,Machinery,2,299,163,66,119,52,11,3.14,10.0,21.0,0.2334,458953.0,High
V7232,Vendor_845_Co,Textiles,19,910,100,58,99,59,7,3.87,2.0,4.0,0.1832,406291.0,YES
V3987,Vendor_988_Co,Electronics,26,3862,3737,1955,307,2578,14,2.26,10.0,5.0,0.1444,139517.0,high
V8841,Vendor_505_Inc,Office Supplies,8,3961,2650,304,1126,2459,13,4.99,2.0,64.0,0.2652,338172.0,0
V1282,Vendor_550_Corp,Food & Beverage,2,2639,1083,366,908,947,12,3.44,9.0,28.0,0.1226,304861.0,1
V2232,Vendor_711_Ltd,Textiles,19,2964,1454,1269,1267,1188,15,3.22,3.0,18.0,0.0592,145042.0,High
V1172,Vendor_211_Corp,Automotive,29,920,666,12,327,542,21,3.67,7.0,63.0,0.1784,422378.0,High
V5862,Vendor_992_LLC,Chemicals,9,1819,482,178,33,400,21,3.91,10.0,53.0,0.1204,130910.0,YES
V1565,Vendor_994_Co,Chemicals,2,3197,2374,1840,344,1472,15,3.22,10.0,60.0,0.1822,420802.0,1
V4375,Vendor_805_Corp,Chemicals,1,1703,1169,31,92,781,29,2.72,6.0,23.0,0.2961,434361.0,1
V3561,Vendor_735_Co,Raw Materials,19,4449,2416,1650,1661,1789,27,3.78,9.0,67.0,0.0567,268370.0,YES
V9986,Vendor_808_Inc,IT Hardware,10,3553,1378,9,1088,663,3,3.68,5.0,42.0,0.0383,120813.0,NO
V2639,Vendor_721_Co,Raw Materials,15,3946,3400,1406,336,2729,16,3.12,,20.0,0.1718,361706.0,High
V2122,Vendor_654_Co,Chemicals,25,976,293,162,159,285,15,4.54,6.0,14.0,0.1336,400090.0,Low Risk
V4538,Vendor_248_Corp,Chemicals,8,1803,502,448,115,225,1,4.57,8.0,57.0,0.1244,290001.0,Low Risk
V8728,Vendor_594_LLC,Food & Beverage,10,403,49,22,41,11,23,3.63,2.0,16.0,0.1595,145190.0,High Risk
V8036,Vendor_391_Corp,IT Hardware,8,3130,27,5,6,10,1,3.87,10.0,69.0,0.1301,319260.0,1
V8941,Vendor_845_Ltd,Packaging,21,3609,1916,1349,1496,1140,24,3.82,8.0,31.0,0.0455,,0
V2219,Vendor_964_Inc,Food & Beverage,28,1165,1009,457,963,680,30,2.69,7.0,68.0,0.0994,340244.0,
V3490,Vendor_875_Ltd,Food & Beverage,30,13,1,0,0,0,6,3.83,,51.0,0.1855,331405.0,High
V1418,Vendor_709_LLC,Food & Beverage,7,864,604,340,345,225,24,2.34,4.0,33.0,0.2056,121778.0,low
V5003,Vendor_487_Inc,Office Supplies,13,3487,2520,1068,1607,2509,21,4.84,3.0,71.0,0.2887,310835.0,YES
V2596,Vendor_567_Inc,Food & Beverage,16,3683,2220,1825,755,709,20,,4.0,29.0,0.1183,425426.0,high
V1970,Vendor_149_LLC,Food & Beverage,9,2996,2511,1694,992,828,4,3.5,8.0,10.0,Low,399172.0,low
V7714,Vendor_722_Ltd,Office Supplies,12,3677,1301,803,1048,552,3,4.14,2.0,67.0,0.1934,31558.0,0
V2184,Vendor_747_Corp,Textiles,25,1094,48,41,21,48,18,2.88,7.0,22.0,0.0118,226753.0,1
V3086,Vendor_590_Co,Automotive,29,3071,1600,921,1241,460,14,3.94,3.0,31.0,0.1797,151799.0,low
V2940,Vendor_222_Ltd,IT Hardware,21,482,169,147,15,68,28,4.04,8.0,56.0,0.2024,55478.0,Low Risk
V4032,Vendor_647_Corp,Electronics,15,1273,836,678,646,444,13,Excellent,8.0,69.0,0.256,233334.0,YES
V1591,Vendor_955_Co,Office Supplies,29,4028,1176,901,380,821,29,TBD,3.0,6.0,0.0317,232568.0,0
V7210,Vendor_874_Inc,Machinery,18,1850,1745,787,1444,95,2,3.79,,57.0,0.2896,110365.0,Low
V8325,Vendor_189_Inc,Office Supplies,4,4377,275,118,187,188,20,2.5,7.0,34.0,0.116,210118.0,0
V5605,Vendor_956_Inc,Chemicals,26,312,93,60,43,76,5,3.05,4.0,64.0,0.174,294993.0,0
V6091,Vendor_277_Co,Textiles,22,3471,1634,200,535,618,29,2.97,10.0,18.0,0.205,105598.0,High
V7128,Vendor_734_Corp,IT Hardware,11,525,288,172,233,261,4,3.81,9.0,4.0,,313736.0,Low Risk
V2680,Vendor_133_Corp,IT Hardware,10,3330,1747,1373,1687,493,11,2.6,10.0,,0.0419,480621.0,
V4752,Vendor_562_Corp,Raw Materials,22,2759,200,71,142,193,5,3.78,7.0,31.0,0.0371,337124.0,low
V6011,Vendor_470_Corp,Machinery,6,4138,3405,3226,2445,91,20,2.64,2.0,32.0,0.2454,55998.0,High Risk
V7392,Vendor_341_Ltd,Office Supplies,4,812,704,155,16,272,14,2.54,7.0,51.0,0.2175,114437.0,0
V3535,Vendor_612_LLC,Packaging,16,4567,1665,451,652,591,29,2.27,3.0,14.0,,212245.0,
V1144,Vendor_784_Corp,Automotive,13,155,81,19,63,7,15,3.21,5.0,31.0,0.2681,327060.0,NO
V6883,Vendor_829_Co,Machinery,1,802,297,104,81,36,11,4.63,9.0,62.0,0.2883,293888.0,0
V9380,Vendor_981_Co,IT Hardware,27,2659,236,38,61,11,22,,7.0,22.0,0.0796,117544.0,High
V2032,Vendor_235_LLC,Food & Beverage,24,365,142,122,130,114,24,2.53,8.0,31.0,0.1085,210941.0,High Risk
V5112,Vendor_392_Co,Automotive,3,4524,4176,1782,1900,338,27,4.17,10.0,41.0,0.2507,,0
V2087,Vendor_614_Inc,Automotive,1,3737,3100,1071,432,1940,1,4.38,1.0,2.0,0.2629,48304.0,1
V2751,Vendor_370_LLC,IT Hardware,18,3853,3315,1479,1662,2219,29,4.38,2.0,43.0,0.0505,340993.0,Low Risk
V1419,Vendor_197_Inc,Textiles,5,573,483,376,202,375,3,2.9,6.0,49.0,0.2086,215638.0,
V1072,Vendor_976_Ltd,Food & Beverage,21,1910,364,87,153,25,2,2.04,8.0,69.0,0.0312,56470.0,
V7794,Vendor_500_LLC,Office Supplies,30,1804,1426,1416,1280,113,19,2.01,4.0,39.0,0.2285,368409.0,0
V5997,Vendor_187_Inc,IT Hardware,30,1121,852,567,204,308,21,3.38,3.0,49.0,0.2347,438178.0,high
V7636,Vendor_815_Inc,Packaging,18,2779,181,60,147,174,26,3.23,9.0,9.0,0.1915,474401.0,YES
V2613,Vendor_471_Corp,Automotive,1,962,169,112,118,107,15,4.99,5.0,40.0,0.038,,low
V7476,Vendor_207_Ltd,Machinery,24,3443,709,571,308,40,6,4.13,,27.0,0.1725,217868.0,low
V6479,Vendor_876_Co,Machinery,18,4239,4034,580,2928,984,21,4.72,TBD,11.0,0.1386,192023.0,YES
V5518,Vendor_740_LLC,Food & Beverage,26,55,9,1,6,1,1,4.82,2.0,24.0,0.1112,312125.0,YES
V1511,NA,IT Hardware,11,4050,2842,546,1093,1272,7,4.63,2.0,64.0,0.0241,66365.0,1
V9592,Vendor_616_Inc,Food & Beverage,28,1163,470,122,184,185,5,,4.0,34.0,0.12,114008.0,YES
V3876,Vendor_971_Inc,Machinery,22,3719,3545,385,1213,3541,17,3.98,1.0,16.0,0.0738,378746.0,low
V3715,Vendor_290_LLC,Automotive,28,2298,1770,340,1216,327,8,2.59,2.0,26.0,0.15,487435.0,Low
V4649,Vendor_144_Inc,Textiles,16,1096,117,6,21,41,24,2.93,8.0,13.0,0.1634,405240.0,NO
V9918,Vendor_854_Corp,IT Hardware,14,4104,1115,13,315,1006,28,3.62,4.0,30.0,,401281.0,low
V6308,Vendor_448_Ltd,Electronics,17,2680,1299,141,426,11,7,3.9,7.0,72.0,0.2214,358561.0,1
V9901,Vendor_825_LLC,Office Supplies,15,574,533,94,348,322,19,4.1,6.0,51.0,0.0429,176642.0,Low
V2621,Vendor_508_Inc,Machinery,1,1359,467,25,412,441,30,3.98,3.0,64.0,0.1374,147407.0,High
V3842,Vendor_803_Co,Packaging,26,3928,3577,3011,546,1067,10,2.6,7.0,48.0,0.0546,460480.0,high
V3401,Vendor_397_LLC,Chemicals,17,1567,717,574,366,557,28,2.46,9.0,1.0,0.2573,268142.0,Low
V1156,Vendor_116_Ltd,IT Hardware,15,4206,1284,920,321,373,23,4.51,9.0,63.0,0.2363,148810.0,High Risk
V2443,Vendor_486_Inc,IT Hardware,3,1463,1456,235,662,583,17,4.91,TBD,66.0,0.1674,332764.0,high
V8354,Vendor_797_Co,IT Hardware,11,1461,1286,1011,950,1154,28,4.91,6.0,20.0,0.1319,246849.0,low
V1119,Vendor_608_Inc,Packaging,29,474,362,153,107,261,9,4.88,1.0,43.0,0.2288,409518.0,
V8795,Vendor_719_Inc,Electronics,2,4464,255,5,173,238,4,3.48,3.0,43.0,0.2866,,0
V8970,Vendor_359_Ltd,IT Hardware,8,4882,4840,232,651,1816,6,2.79,6.0,23.0,0.2106,373732.0,1
V6150,Vendor_765_Inc,Machinery,4,4711,1127,1084,751,815,1,4.21,8.0,67.0,0.1161,295478.0,1
V6700,Vendor_504_Co,Textiles,11,1386,1129,702,11,835,4,3.63,,17.0,0.2335,364612.0,High
V2245,Vendor_209_Inc,Automotive,25,4189,3979,913,3332,1002,9,2.61,1.0,15.0,0.0692,33961.0,1
V3881,Vendor_923_Co,Food & Beverage,2,55,48,6,27,14,18,2.75,,59.0,0.04,244606.0,YES
V6447,Vendor_741_Corp,Textiles,6,4395,659,562,445,265,12,2.2,5.0,9.0,0.0475,246179.0,
V6684,Vendor_669_Inc,IT Hardware,7,4110,1182,519,878,408,5,2.21,10.0,72.0,0.0994,184945.0,high
V8740,Vendor_761_Inc,Raw Materials,28,1595,1246,877,105,636,21,2.02,3.0,35.0,0.2377,168993.0,High Risk
V7658,Unknown,Food & Beverage,20,3993,510,48,126,432,6,4.68,4.0,,0.0322,126184.0,YES
V4010,Vendor_696_Corp,Office Supplies,22,2351,433,235,275,130,19,4.11,3.0,29.0,,162331.0,Low
V8533,Vendor_168_LLC,Automotive,20,1396,614,604,249,513,20,4.27,8.0,30.0,0.1015,148470.0,
V2847,Vendor_483_LLC,Electronics,25,2143,1234,1033,963,539,7,2.29,5.0,60.0,0.1122,162967.0,YES
V3105,Vendor_771_Ltd,Electronics,25,4563,4387,2775,3693,3616,7,2.64,7.0,4.0,0.1269,181776.0,Low Risk
V9904,Vendor_804_Inc,Food & Beverage,18,445,47,20,17,14,4,3.68,1.0,62.0,0.1362,478534.0,NO
V2808,Vendor_940_LLC,Textiles,5,1342,833,665,79,184,21,2.2,8.0,70.0,0.2823,491758.0,high
V8401,Vendor_718_LLC,Office Supplies,15,4013,1805,755,1214,621,22,4.65,1.0,,0.2893,80080.0,High
V8689,Vendor_119_Ltd,Chemicals,27,3644,2340,51,1860,784,7,2.82,8.0,45.0,0.2061,21701.0,0
V9016,Vendor_414_Corp,IT Hardware,24,2360,1190,1020,5,864,3,4.05,,4.0,0.046,266946.0,low
V5649,Vendor_627_Co,Packaging,3,1760,1046,969,347,173,27,4.86,4.0,40.0,,105401.0,0
V2831,Vendor_516_Corp,Raw Materials,7,1064,120,111,37,66,8,3.29,3.0,72.0,0.1648,428304.0,NO
V3831,Vendor_597_Inc,Office Supplies,5,2140,71,38,10,54,4,2.39,2.0,12.0,0.2233,400941.0,Low
V9308,Vendor_416_Ltd,Packaging,13,2714,2552,1285,510,1230,23,2.89,3.0,25.0,0.1261,494021.0,high
V2907,Vendor_470_LLC,Packaging,7,521,87,19,17,73,15,2.98,10.0,21.0,0.2929,39289.0,Low Risk
V4602,Vendor_909_Corp,IT Hardware,10,266,4,2,3,0,23,4.76,7.0,39.0,0.2173,143694.0,High
V7275,Vendor_539_LLC,IT Hardware,12,2235,1305,1275,220,1243,12,4.69,2.0,58.0,0.0502,18699.0,High Risk
V2399,Vendor_156_Ltd,Machinery,12,3847,2413,752,1818,285,4,2.39,10.0,54.0,0.0517,347391.0,
V2680,Vendor_828_Co,Raw Materials,10,437,328,246,190,283,3,6.0,5.0,58.0,0.2716,78253.0,high
V5101,Vendor_817_Corp,Packaging,12,959,143,5,20,32,1,3.15,2.0,49.0,0.0966,341645.0,1
V8893,Vendor_389_Ltd,Food & Beverage,30,2739,2618,2438,132,826,6,2.2,3.0,39.0,0.1605,344152.0,Low Risk
V6977,Vendor_669_Corp,IT Hardware,24,256,151,88,101,124,10,4.68,4.0,3.0,0.273,106757.0,1
V2251,Vendor_348_Inc,IT Hardware,14,4201,2633,2443,910,679,4,3.5,4.0,7.0,0.2456,239005.0,NO
V6811,Vendor_717_Ltd,Electronics,20,1624,1298,656,598,170,29,3.77,3.0,47.0,0.2554,101675.0,High Risk
V8726,Vendor_298_Ltd,Electronics,14,2532,2088,1657,298,1396,14,2.58,,22.0,0.1592,404907.0,low
V5230,Vendor_397_Co,Chemicals,2,844,102,60,60,83,4,4.45,7.0,11.0,0.1231,22433.0,low
V6857,Vendor_420_Co,Machinery,12,2281,2140,1749,1143,1769,6,4.79,9.0,,0.1447,53293.0,0
V6319,Vendor_965_Inc,Textiles,25,4924,3629,1443,1290,2253,21,3.29,6.0,31.0,0.1689,113159.0,high
V9362,Vendor_192_Ltd,Packaging,17,4840,2383,548,1903,2052,1,3.99,,22.0,0.2272,,low
V3089,Vendor_721_Inc,Office Supplies,15,1788,1635,1580,1181,1525,23,2.15,3.0,9.0,0.1037,490547.0,YES
V6194,Vendor_886_Ltd,Office Supplies,19,2448,1874,1656,821,1259,11,4.22,8.0,70.0,0.0519,34948.0,0
V1050,Vendor_947_Inc,Raw Materials,3,2514,928,421,506,488,1,3.5,1.0,23.0,0.1933,207060.0,High
V8021,Vendor_121_LLC,Food & Beverage,16,2296,397,344,64,314,29,3.7,1.0,43.0,0.0777,168230.0,
V6623,Vendor_469_Inc,Automotive,4,4093,280,195,143,184,29,4.52,5.0,37.0,0.0734,85770.0,0
V1071,Vendor_732_Co,Packaging,29,520,217,67,143,185,24,2.78,,59.0,0.1653,24344.0,
V1810,Vendor_499_Inc,Chemicals,11,1966,1558,1089,362,920,15,2.71,9.0,43.0,0.0817,114911.0,0
V2903,Vendor_872_Corp,Food & Beverage,19,1799,1198,245,593,172,14,2.75,4.0,3.0,0.1877,1681.0,No
V1575,Vendor_892_Ltd,Electronics,20,4323,2710,1437,1113,704,21,3.82,4.0,51.0,0.016,370833.0,low
V1473,Vendor_204_Inc,Packaging,29,2589,334,99,279,42,4,3.15,4.0,40.0,0.0223,176383.0,Low
V8002,Vendor_974_Corp,Chemicals,20,1286,987,20,780,390,18,,3.0,33.0,0.1141,161352.0,low
V5350,Vendor_187_Inc,Food & Beverage,9,3076,2585,1824,1152,1630,29,3.62,,65.0,0.115,102601.0,1
V5451,Vendor_627_Corp,Machinery,13,1162,940,161,51,633,19,4.11,6.0,58.0,0.1931,219997.0,0
V3551,Vendor_581_LLC,Machinery,11,946,285,232,19,279,19,2.09,,49.0,0.0187,424904.0,Low
V8532,Vendor_866_Corp,Chemicals,13,3435,903,247,93,60,17,Excellent,9.0,71.0,0.0276,5166.0,0
V8700,Vendor_448_LLC,Chemicals,4,3404,2207,966,339,712,18,2.62,10.0,45.0,0.2896,333807.0,low
V1302,Vendor_318_Inc,Chemicals,22,1069,735,703,459,613,2,4.49,7.0,35.0,0.0449,343427.0,High Risk
V9008,Vendor_882_Inc,Food & Beverage,17,4879,3304,0,2151,2007,21,4.58,3.0,61.0,0.2953,244830.0,1 
V5907,Vendor_574_Ltd,Food & Beverage,5,396,375,374,227,203,28,3.9,3.0,40.0,0.1037,274149.0,High
V9956,Vendor_666_Co,Raw Materials,20,4078,810,263,196,314,2,2.08,1.0,4.0,0.0505,93782.0,0
V1408,Vendor_873_Corp,Raw Materials,2,3496,410,159,169,320,15,3.77,8.0,16.0,0.2742,20582.0,0
V2306,Vendor_530_Inc,Electronics,19,4999,975,656,245,460,9,4.01,3.0,28.0,0.1982,196926.0,Low Risk
V9335,Vendor_479_Corp,Machinery,4,3563,3025,2082,2146,730,15,4.85,4.0,41.0,0.0219,107749.0,low
V2498,Vendor_704_Ltd,Textiles,17,1820,615,593,16,21,24,4.19,4.0,32.0,0.083,4791.0,0
V1633,Vendor_544_Co,Automotive,30,3390,1986,368,433,622,23,3.32,,62.0,0.2325,178443.0,YES
V4999,Vendor_883_Co,Automotive,29,1131,914,390,20,619,28,4.56,1.0,29.0,0.0861,263298.0,Low
V2166,Vendor_583_LLC,Automotive,4,974,481,27,443,324,28,4.04,9.0,,0.1239,457575.0,0
V8737,Vendor_610_LLC,Textiles,12,1938,494,77,143,284,4,3.58,5.0,15.0,0.1842,432922.0,high
V3991,Vendor_379_LLC,IT Hardware,6,368,341,143,320,213,22,3.75,9.0,63.0,0.2834,346405.0,low
V2117,Vendor_610_Corp,Office Supplies,13,1112,60,6,47,3,20,4.04,3.0,39.0,0.1866,51506.0,
V8214,Vendor_753_Inc,Raw Materials,1,4705,4425,1926,753,754,22,4.75,5.0,26.0,0.0591,302021.0,0
V6169,Vendor_854_Ltd,Office Supplies,18,2170,2117,1282,1784,675,28,4.77,8.0,,0.0567,29608.0,1
V8899,Vendor_421_Inc,Machinery,21,1842,88,26,61,43,9,2.25,2.0,25.0,0.0524,315364.0,1
V4594,Vendor_950_Ltd,IT Hardware,5,4978,3861,3552,1972,698,26,3.75,3.0,,0.0794,-1000.0,YES
V2954,Vendor_924_Ltd,Automotive,5,624,192,88,172,123,14,2.37,2.0,37.0,0.1384,486072.0,0
V1838,Vendor_105_Ltd,Chemicals,3,3462,1363,139,877,44,23,3.08,8.0,23.0,0.0674,344166.0,YES
V9350,Vendor_385_Inc,Food & Beverage,13,2100,1935,828,692,1248,6,2.2,1.0,41.0,0.0476,17107.0,high
V2695,Vendor_581_Ltd,Packaging,7,1613,341,283,183,314,27,2.53,4.0,43.0,0.0728,116599.0,0
V9829,Vendor_284_Ltd,Textiles,27,3676,1000,976,942,680,1,3.31,8.0,5.0,0.1194,192973.0,0
V9161,Vendor_301_Inc,IT Hardware,21,3641,2549,1010,2237,1505,25,2.89,6.0,29.0,0.1688,99999999.0,YES
V7723,Vendor_860_Corp,Textiles,9,1804,93,14,85,13,3,3.15,7.0,66.0,0.2378,348722.0,NO
V1092,Vendor_220_Corp,IT Hardware,5,1010,662,159,164,496,21,3.91,6.0,57.0,0.0714,345379.0,NO
V3325,Vendor_146_Corp,Food & Beverage,18,881,825,531,470,122,27,4.4,4.0,63.0,0.1009,257838.0,Low
V1578,Vendor_322_LLC,Food & Beverage,7,2544,265,0,152,4,1,2.65,3.0,40.0,0.2301,92286.0,
V4308,Vendor_114_Co,Textiles,12,2591,678,506,409,678,2,-1.0,5.0,5.0,0.032,228907.0,High
V4207,Vendor_801_Ltd,Office Supplies,14,560,321,79,122,129,19,3.8,2.0,16.0,0.2666,98867.0,0
V5595,Vendor_536_Co,Packaging,20,4405,1723,1190,1377,1008,14,2.38,8.0,42.0,0.2949,278515.0,0
V3216,Vendor_960_Co,Machinery,23,1239,1221,587,769,263,28,3.1,6.0,49.0,0.2519,35612.0,
V7964,Vendor_569_LLC,Food & Beverage,8,3545,1972,544,1435,928,29,3.04,1.0,58.0,0.246,49145.0,YES
